MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1135057018907,18.45,0.13,192.42646,34.82490,56314.40044,0
1135057018907,18.60,0.14,192.42600,34.82481,56352.51017,0
1135057018907,18.65,0.15,192.42629,34.82497,56352.51412,0
1135057018907,18.48,0.14,192.42631,34.82493,56352.51814,0
1135057018907,18.65,0.15,192.42644,34.82488,56352.52217,0
1135057018907,18.42,0.13,192.42645,34.82485,56367.27516,0
1135057018907,18.57,0.14,192.42634,34.82490,56367.28313,0
1135057018907,18.62,0.14,192.42618,34.82473,56367.29112,0
1135057018907,18.77,0.15,192.42603,34.82469,56367.29906,0
1135057018907,18.80,0.15,192.42601,34.82485,55955.49864,0
1135057018907,18.75,0.15,192.42629,34.82474,55955.50568,0
1135057018907,18.70,0.15,192.42624,34.82485,55955.51262,0
1135057018907,18.46,0.13,192.42629,34.82482,55955.51968,0
1135057018907,18.44,0.13,192.42648,34.82499,56386.31473,0
1135057018907,18.51,0.14,192.42622,34.82471,56386.31990,0
1135057018907,18.65,0.15,192.42622,34.82496,56386.32517,0
1135057018907,18.44,0.13,192.42635,34.82491,56386.33046,0
1135057018907,18.47,0.20,192.42628,34.82493,56395.39679,0
1135057018907,18.81,0.20,192.42627,34.82477,56395.40125,0
1135057018907,18.33,0.42,192.42594,34.82493,56395.40574,0
1135057018907,18.77,0.16,192.42622,34.82464,56403.19199,0
1135057018907,18.62,0.15,192.42617,34.82489,56403.19815,0
1135057018907,18.69,0.15,192.42598,34.82456,56403.20432,0
1135057018907,18.78,0.16,192.42640,34.82482,56403.21050,0
1135057018907,18.27,0.16,192.42652,34.82467,56417.13443,0
1135057018907,18.52,0.14,192.42639,34.82501,56417.14061,0
1135057018907,18.47,0.14,192.42638,34.82471,56417.14677,0
1135057018907,18.66,0.15,192.42608,34.82474,56417.15293,0
1135057018907,18.86,0.17,192.42637,34.82479,56450.23706,0
1135057018907,18.80,0.17,192.42626,34.82479,56450.24262,0
1135057018907,18.68,0.16,192.42638,34.82479,56450.24823,0
1135057018907,18.72,0.16,192.42630,34.82465,56450.25383,0
1135057018907,18.34,0.13,192.42679,34.82494,56462.21172,0
1135057018907,18.61,0.15,192.42613,34.82458,56462.21668,0
1135057018907,18.48,0.14,192.42652,34.82492,56462.22170,0
1135057018907,19.11,0.19,192.42634,34.82488,56462.22673,0
